field_filter,hobby_coding,hobby_gaming,hobby_reading,hobby_writing,hobby_music,hobby_drawing_art,hobby_sports,hobby_cooking,hobby_photography,hobby_travel,hobby_science_experiments,hobby_volunteering,hobby_debating,hobby_robotics,hobby_fashion,hobby_business_trading,grade_math,grade_science,grade_lang,grade_social,grade_cs,score_analytical,score_numeric,score_verbal,score_creative,score_social,top_career_1,top_career_2,top_career_3,top_career_4,top_career_5
all,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,97,89,62,56,80,96,97,62,78,66,Data Analyst,Data Scientist,Cybersecurity Analyst,Database Administrator,Systems Analyst
Defense,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,63,73,76,87,67,88,65,80,63,77,Defense Scientist,Navy Officer,Army Officer,Air Force Officer,Coast Guard Officer
all,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,55,67,72,97,70,74,77,91,81,92,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
Forensics,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,57,85,48,60,69,60,64,56,67,68,Criminologist,Forensic Scientist,Crime Scene Investigator,Forensic Psychologist,Digital Forensics Analyst
all,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,65,61,71,68,64,75,57,76,58,65,Public Relations Manager,IT Project Manager,Animator,Film Director,Video Editor
Law & Government,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,38,54,59,93,47,70,39,67,32,85,Social Welfare Officer,Lawyer / Advocate,Judge,Legal Advisor,Public Prosecutor
all,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,87,70,64,76,72,86,74,71,61,75,Public Relations Manager,IT Project Manager,Training Manager,Accountant,Chartered Accountant (CA)
all,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,80,87,58,44,100,89,87,66,88,31,Financial Analyst,Business Analyst,Risk Analyst,Credit Analyst,Data Analyst
Aviation,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,86,47,89,93,64,94,72,88,41,75,Aircraft Maintenance Engineer,Pilot,Commercial Pilot,Air Traffic Controller,Flight Dispatcher
Law & Government,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,63,69,74,99,56,76,67,90,66,78,Social Welfare Officer,Lawyer / Advocate,Judge,Legal Advisor,Public Prosecutor
Aviation,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,82,60,61,78,60,71,79,68,46,78,Aircraft Maintenance Engineer,Pilot,Commercial Pilot,Air Traffic Controller,Flight Dispatcher
