field_filter,hobby_coding,hobby_gaming,hobby_reading,hobby_writing,hobby_music,hobby_drawing_art,hobby_sports,hobby_cooking,hobby_photography,hobby_travel,hobby_science_experiments,hobby_volunteering,hobby_debating,hobby_robotics,hobby_fashion,hobby_business_trading,grade_math,grade_science,grade_lang,grade_social,grade_cs,score_analytical,score_numeric,score_verbal,score_creative,score_social,top_course_1,top_course_2,top_course_3,top_course_4,top_course_5
all,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,53,45,53,58,50,64,30,73,37,49,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
Arts,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,68,81,78,76,69,57,76,78,92,62,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
Media,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,52,74,75,66,78,41,64,79,82,75,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
Engineering,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,74,82,48,68,49,67,75,46,50,80,BEng Software Engineering,BEng Computer Engineering,Graduate Diploma in Robotics Engineering,BEng Mechanical Engineering,PhD Civil Engineering
all,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,45,69,81,89,83,51,46,85,84,100,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
Law,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,80,68,69,84,65,73,51,78,73,67,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
all,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,83,58,52,49,76,86,69,52,39,49,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
all,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,73,66,76,51,80,70,76,63,69,43,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Architecture,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,65,64,64,71,70,48,51,56,83,72,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
Media,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,63,85,58,51,70,61,78,71,72,56,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
Architecture,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,63,76,48,48,57,51,74,63,79,68,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
all,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,67,53,75,85,85,63,61,76,78,77,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Law,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,55,66,70,75,50,63,56,93,50,55,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
Education,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,64,56,87,82,63,66,70,78,50,79,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
all,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,85,68,56,56,100,88,77,65,65,64,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Arts,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,66,59,97,76,96,78,31,95,95,69,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
Engineering,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,73,72,83,40,70,69,81,67,71,69,BEng Software Engineering,BEng Computer Engineering,Graduate Diploma in Robotics Engineering,BEng Mechanical Engineering,PhD Civil Engineering
all,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,64,72,24,69,94,60,72,48,89,75,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Science,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,68,95,50,49,58,69,81,50,73,59,MSc Physics,MSc Chemistry,Graduate Certificate in Biology,PhD Biochemistry,Graduate Certificate in Microbiology
Social Science,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,72,49,56,61,74,63,62,74,45,98,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
Education,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,94,54,76,63,55,84,67,73,50,74,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
all,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,98,96,63,49,81,90,90,62,75,45,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
all,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,63,88,75,96,69,74,73,84,80,71,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Health,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,79,68,62,68,45,64,59,56,41,90,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Social Science,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,58,39,77,100,39,72,48,80,53,85,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
all,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,60,74,35,48,84,67,50,44,100,60,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
all,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,40,43,80,100,71,47,42,93,61,67,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
Health,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,65,53,77,58,65,70,70,68,57,74,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Engineering,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,73,70,43,22,87,95,71,44,72,29,BEng Software Engineering,BEng Computer Engineering,Graduate Diploma in Robotics Engineering,BEng Mechanical Engineering,PhD Civil Engineering
all,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,77,73,42,38,93,72,72,43,80,48,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
all,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,62,57,83,73,82,66,62,81,77,70,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
all,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,86,67,38,69,25,62,82,59,28,64,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Education,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,78,64,79,82,93,70,44,90,63,77,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
Engineering,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,83,68,60,39,61,76,85,57,77,25,BEng Software Engineering,BEng Computer Engineering,Graduate Diploma in Robotics Engineering,BEng Mechanical Engineering,PhD Civil Engineering
Health,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,100,71,88,75,52,80,86,79,61,76,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Business,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,53,56,51,96,59,64,83,76,56,92,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
STEM,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,67,86,61,69,60,77,78,63,65,73,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
Media,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,35,56,48,66,85,74,28,67,83,63,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
Health,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,79,92,86,57,71,76,73,80,81,76,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Arts,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,56,61,70,76,65,68,47,75,85,85,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
all,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,81,75,68,59,75,88,74,63,71,49,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
Social Science,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,82,59,69,54,45,53,87,70,47,77,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
all,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,66,64,39,71,93,95,53,40,90,78,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,57,42,100,87,65,68,73,93,57,88,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
STEM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93,55,50,69,54,83,83,55,49,70,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
Engineering,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,66,72,62,46,47,64,94,61,64,67,BEng Software Engineering,BEng Computer Engineering,Graduate Diploma in Robotics Engineering,BEng Mechanical Engineering,PhD Civil Engineering
all,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,68,54,68,45,51,65,60,60,78,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,62,77,28,53,58,65,85,28,44,57,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
all,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,57,76,36,38,66,49,63,58,91,59,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
STEM,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,85,83,68,57,71,78,99,56,61,57,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
STEM,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,83,73,66,69,64,77,84,56,80,55,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
Arts,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,75,63,52,65,73,65,58,64,75,76,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
Media,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,63,64,82,80,55,36,70,78,75,65,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
Arts,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,52,70,74,62,80,65,58,63,87,79,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
all,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,90,59,36,48,80,77,75,43,61,43,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
all,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,87,77,92,49,75,84,79,70,63,29,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
all,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,69,43,98,93,60,66,53,88,36,72,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
all,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,81,66,42,25,57,66,85,31,62,30,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
all,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,47,42,82,78,61,68,44,84,60,77,LLM Law,LLM Corporate Law,LLB International Law,BSc Education,Graduate Diploma in Early Childhood Education
Arts,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,53,75,78,81,80,57,58,100,86,65,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
