Python,SQL,AWS,Docker,Linux,Git,PowerBI,Excel,Career
1,0,1,1,1,1,0,0,DevOps Engineer
1,0,1,1,1,1,0,1,DevOps Engineer
1,0,1,1,1,0,0,0,DevOps Engineer
1,0,1,1,0,1,0,0,DevOps Engineer
1,1,1,1,1,1,0,0,DevOps Engineer
1,0,1,0,1,1,0,0,DevOps Engineer
1,0,1,1,1,1,0,0,DevOps Engineer
1,1,1,1,1,0,0,0,DevOps Engineer
1,0,1,0,1,1,0,1,DevOps Engineer
1,0,1,1,0,1,0,1,DevOps Engineer
1,1,1,0,1,1,0,0,Cloud Engineer
1,0,1,0,1,1,0,0,Cloud Engineer
1,0,1,1,1,0,0,0,Cloud Engineer
1,1,1,0,1,0,0,0,Cloud Engineer
1,0,1,0,1,0,0,0,Cloud Engineer
1,1,1,1,1,1,0,0,Cloud Engineer
1,0,1,0,1,1,0,1,Cloud Engineer
1,1,1,0,1,1,0,1,Cloud Engineer
1,0,1,1,1,1,0,0,Cloud Engineer
1,1,1,1,1,0,0,0,Cloud Engineer
1,1,0,0,0,1,1,1,Data Analyst
1,1,0,0,0,1,1,0,Data Analyst
1,1,0,0,0,0,1,1,Data Analyst
0,1,0,0,0,1,1,1,Data Analyst
1,1,0,0,0,0,1,0,Data Analyst
0,1,0,0,0,1,0,1,Data Analyst
1,1,0,0,0,1,1,1,Data Analyst
1,1,0,0,0,0,1,1,Data Analyst
1,1,0,0,0,1,1,0,Data Analyst
0,1,0,0,0,0,1,1,Data Analyst
1,1,0,1,1,1,0,0,Data Engineer
1,1,0,1,1,1,0,1,Data Engineer
1,1,0,0,1,1,0,0,Data Engineer
1,1,0,1,0,1,0,0,Data Engineer
1,1,1,1,1,1,0,0,Data Engineer
1,1,0,1,1,0,0,0,Data Engineer
1,1,0,1,1,1,0,1,Data Engineer
1,1,1,1,1,1,0,1,Data Engineer
1,1,0,1,0,1,0,1,Data Engineer
1,1,1,1,1,0,0,0,Data Engineer
1,0,0,0,0,1,0,0,Software Developer
1,0,0,0,0,1,0,1,Software Developer
1,1,0,0,0,1,0,0,Software Developer
1,0,0,1,0,1,0,0,Software Developer
1,0,0,0,0,0,0,0,Software Developer
1,1,0,1,0,1,0,0,Software Developer
1,0,0,1,0,1,0,1,Software Developer
1,1,0,0,0,1,0,1,Software Developer
1,0,1,1,0,1,0,0,Software Developer
1,1,0,1,1,1,0,0,Software Developer
